#Chrom	Start	End	TransposableElementTranscript	TransposableElementSymbol	Strand	2cell.GG.WT	2cell.AG.WT	Morula.GG.WT	Morula.AG.WT	ICM.GG.WT	ICM.AG.WT	TE.GG.WT	TE.AG.WT	Morula.GG.K9Dplt	Morula.AG.K9Dplt
chr16	78694069	78697869	TU35423	G17037	+	0	0.40969	0	0	0	0	0	0	0	0
chr16	78694069	78707189	TU35426	G17037	+	0	0	0	0.0214797	0	0.0473057	0	0	0.0683269	0
chr16	80293491	80309542	TU35433	G17041	+	1.16714	0.440633	2.11603	0.579824	1.59821	0.848798	2.09772	1.65245	1.9813	1.60265
chr16	78229918	78235769	TU35435	G17043	-	1.02597	0.813443	0	0.601538	0	0	0	0	0	0.246915
chr16	80215590	80220835	TU35437	G17045	+	0.690939	0	0	0	0.503858	0	0	0	0.0915306	0.196187
chr16	78225515	78235769	TU35438	G17043	-	0.16221	0.558366	0.0365619	0	0	0	0	0	0.320196	0
chr16	56113394	56116287	TU35439	G17046	-	0.328454	2.84169	2.87059	2.6051	0	0	0	0.362891	1.2762	1.95742
chr16	80195240	80220835	TU35440	G17045	+	0.0285692	0	0	0.0186342	0	0	0	0	0.144046	0.0370307
chr16	78231205	78235769	TU35443	G17043	-	0	0.300534	0	0.133125	0	0	0	0	0.0405418	0.165215
chr16	57155684	57156615	TU35444	G17049	+	3.81674	1.21014	7.86229	8.44543	7.96051	7.10648	8.12617	8.52696	7.20692	6.93011
chr16	81950287	81965138	TU35446	G17051	+	0.0653425	0.132511	0	0.0162586	0	0.0621217	0	0	0.11836	0
chr16	81980048	81984497	TU35447	G17052	+	0.0980602	0.116897	0	0	0	0	0	0	0	0.169497
chr16	80294797	80300817	TU35448	G17053	+	2.75944	0	0	0	0	0	0	0	0	0
chr1	130155499	130176758	TU3545	G1745	-	0.186501	0.135404	0.218265	0	1.49655	2.2766	0	0	0.126973	0.104337
chr16	75805203	75849448	TU35450	G17054	-	0.475431	0.228973	0.0346853	0.0252651	0	0	0	0	0	0.0908534
chr16	75842906	75849448	TU35451	G17054	-	0.784085	0.32262	0	0.154454	0	0	0	0	0	0.388465
chr16	78270719	78272246	TU35452	G17055	+	0.891419	0	0	0	0	0	0	0	0	0
chr16	83166485	83168624	TU35453	G17056	-	0	0.283566	0	0	0	0	0	0	0	0
chr16	75848017	75849448	TU35454	G17054	-	2.11203	2.22749	0.787711	0	0	0	0	0	1.68325	0.21122
chr16	75809588	75849448	TU35455	G17054	-	0.231023	0.426104	0.180148	0	0	0.015783	0	0	0.302173	0.0134027
chr16	79310469	79385737	TU35456	G17057	+	0.146655	0.0810669	0.244887	0.0379679	0.122562	0.0238467	0.197865	0.13137	0.0922074	0.080885
chr16	75840689	75849448	TU35457	G17054	-	0.21205	0.672471	0.674159	1.02006	0	0	0	0	0.739416	0
chr16	79259047	79385737	TU35458	G17057	+	0.136629	0.0846086	0.0435778	0.0854247	0	0	0.0426443	0	0.0724489	0.0625823
chr16	75848017	75849448	TU35459	G17054	-	2.11203	2.22749	0.787711	0	0	0	0	0	1.68325	0.21122
chr16	82722695	82725325	TU35460	G17058	-	0.703101	0.0524159	0.107465	0	0	0	0	0	1.21008	0
chr16	83360771	83367890	TU35461	G17059	+	1.40254	0.909351	2.01197	0.605336	1.77947	0.871581	1.8524	1.7213	1.7314	1.46013
chr16	82237973	82240281	TU35462	G17060	-	0.73292	0.787265	4.35912	1.26564	3.8114	2.62597	4.72053	3.58824	3.65071	1.65474
chr16	80134742	80138619	TU35463	G17061	-	3.06322	2.28889	0	0	0	0	0	0	0	0.137941
chr16	82237973	82243042	TU35464	G17060	-	0.339897	0.118758	0	0.250557	0	0	0.908429	0	0	0
chr16	84702441	84702851	TU35466	G17063	-	0	0	0	2.67031	0	0	0	0	0	0
chr16	80134742	80140926	TU35467	G17061	-	0	0	0	0	0	0	0	0	0	0
chr16	80134742	80139204	TU35468	G17061	-	0	0.701327	0	0	0	0	0	0	0.375735	0.456981
chr16	59466650	59471460	TU35469	G17064	+	1.12763	0.636358	0.574021	0.300221	0	0	0	0	0.373509	0.337616
chr16	79234954	79260149	TU35470	G17065	-	0.191984	0.0040339	0.0252651	0.00958605	0.0389044	0	0	0	0.105008	0.0881416
chr16	84681640	84686622	TU35472	G17067	+	0	0.0268709	1.05033	0	0	0	0	0	0.330558	0.122562
chr16	83350440	83361507	TU35473	G17068	-	0.452068	0.0612923	0	0	0	0	0	0	0	0
chr16	85280642	85283598	TU35477	G17071	-	0.169925	1.00014	0	0	0	0	0	0	0	0
chr16	85313682	85317443	TU35478	G17072	-	0.437583	0.329985	0.0722202	3.2558	0	0	0.557124	1.81257	0.253384	2.58608
chr16	78561847	78566566	TU35479	G17073	+	2.52607	3.75512	0.235931	1.01626	0	0.196607	0	0	0.51248	0.763836
chr1	129393941	129395560	TU3548	G1746	-	10.513	10.9627	5.44716	6.65132	1.47283	2.08179	3.77259	0	6.68023	1.13247
chr16	78562637	78572389	TU35480	G17073	+	3.08265	3.55417	0.440421	0.222805	0	0	0	0.265437	0.751464	0
chr16	85426165	85435796	TU35484	G17077	+	1.26023	2.14685	0	0.0295118	0	0	0	0	0.0565835	0.603122
chr16	85627569	85629682	TU35485	G17078	+	0	1.30789	0	0.140124	0	0	0	0	0	0
chr16	85627569	85643890	TU35486	G17078	+	0.0593553	0.00633393	0	0	0	0	0	0	0.0593553	0.134878
chr16	84665459	84696276	TU35487	G17079	-	0.253788	0	0.0262099	0.0421774	0	0.0496308	0.036093	0	0.121679	0.0635029
chr16	86397024	86400266	TU35490	G17082	+	1.4624	0	0	0	0	0	0	0	0.292193	0
chr16	85426725	85460555	TU35494	G17086	+	0.0299829	0.0848807	0.0186342	0	0	0	0	0	0.0648829	0.186923
chr16	86331621	86356079	TU35495	G17087	-	0.173341	0	0	0	0	0	0	0	0.0840643	0.119909
chr16	86339234	86356079	TU35496	G17087	-	0.140124	0	0	0	0	0	0	0	0.0531113	0
chr16	83936630	83953725	TU35497	G17088	-	0.398715	0.846393	0.0971613	0.164786	0	0.123004	0	0	1.4359	0.146221
chr16	87440659	87452761	TU35498	G17089	-	0.169497	0.297485	0.194507	0.397985	0.254997	0	0.809552	0.301002	0.0799754	0
chr16	83950391	83953725	TU35499	G17088	-	3.33914	3.49252	0.0491661	0.452771	0	0	0	0	0	0
chr1	21390860	21391680	TU355	G188	+	3.81335	5.16981	2.6092	2.62519	0	0	0	0	3.7137	2.21837
chr1	134098234	134099293	TU3550	G1748	-	0	0	0.528738	0	0	0	3.78743	0	0	0
chr16	83938816	83956753	TU35501	G17091	-	0	0.0840643	0	0	0	0	0	0	0	0
chr16	87545725	87553250	TU35504	G17093	+	0.340657	0.507313	0.829985	0.388098	0	0	0	0	1.39397	1.29651
chr16	87602864	87616235	TU35505	G17094	-	0.0547327	0.246104	0	0	0	0.0917562	0	0.141869	0.0669502	0.129613
chr16	83950139	83957088	TU35509	G17097	-	0	0.23585	0.224863	0.339897	0	0	0	0.290818	0	0.121679
chr1	132248798	132251655	TU3551	G1749	-	0.15056	2.77556	0.236748	0	0	0.13444	1.96039	0	0	0.457332
chr16	62796908	62798540	TU35511	G17098	-	0.690939	0.0881416	2.63753	2.66463	4.3697	0	3.13778	3.75364	2.96394	0.69807
chr16	87677348	87679029	TU35517	G17103	+	0	1.23156	0.156612	1.74071	0.634748	0	0.884663	0	0	0
chr16	87653843	87679029	TU35518	G17103	+	0.438293	0.397474	0.0110185	0.0374994	0.437228	0.67717	0.0962619	0.533065	0.107688	0.220743
chr1	129382388	129395560	TU3552	G1746	-	0.165215	0.407298	0	0	0	0	0	0	0.615416	0
chr16	84972603	84979351	TU35523	G17107	+	0	0.488721	1.79978	1.89672	0	2.24833	0	0.157044	0.574828	0.971344
chr16	87689816	87696961	TU35526	G17109	+	1.2135	1.50843	1.37944	0.441838	1.93898	0	0	0.235523	0	0.382944
chr16	87689816	87696446	TU35528	G17109	+	0.830255	1.27513	0	0.184809	0	0	0	0.836193	0.61306	0.0749621
chr1	133668014	133677165	TU3553	G1750	+	0	0.0717627	0	0	0.399809	0.163499	0	0.819941	0	0
chr16	70542446	70547779	TU35530	G17110	+	0.34445	0.143785	0.915585	0.0817941	0.321543	0.306457	0.952831	1.69703	1.23297	0.539696
chr16	70545890	70547779	TU35532	G17110	+	4.28629	3.38455	7.85442	4.36179	7.84556	7.02597	7.72551	7.74387	7.6803	5.52831
chr16	88237094	88253049	TU35533	G17111	+	0.11014	0.17479	0	0	0	0	0	0	0.0607392	0.0421774
chr16	88237094	88281864	TU35534	G17111	+	0.0994074	0.0629506	0	0.00528021	0	0	0	0	0.0200577	0.0519521
chr16	88811577	88837423	TU35535	G17112	-	0.204975	0.230695	0.0285692	0.0295118	0.0384362	0	0	0	0.140124	0.159629
chr16	88458129	88475310	TU35536	G17113	+	0.182692	0.313826	0.664483	0.642779	0.222392	0.528071	0.701919	0.78073	1.16896	0.930296
chr16	87673122	87681936	TU35537	G17114	-	0	0.182438	0	0.0398403	0	0	0	0	0	0.704282
chr16	87675696	87681936	TU35538	G17114	-	0.0579701	0	0	0.0971613	0	0	0	0	1.51753	0
chr16	87695103	87695799	TU35539	G17115	-	3.7734	4.33117	0	0	3.40944	0	0	2.84043	0	0
chr1	132220889	132251655	TU3554	G1749	-	0.364012	0.315682	0.640929	0.814209	0.276993	0.0881416	0.321928	0.329602	0.820894	0.600904
chr16	89156015	89156368	TU35540	G17116	+	7.11986	6.90363	3.04002	0	0	0	0	0	3.34873	2.42752
chr16	89636592	89637158	TU35541	G17117	+	0	0	1.76398	2.66698	0	3.58364	0	1.91928	1.56291	0
chr16	90219167	90219503	TU35545	G17120	+	0	2.96196	0	0	0	0	0	0	0	0
chr16	90204014	90206017	TU35547	G17122	+	1.76723	1.75258	0	0	0	0	0	0	0	0
chr16	64806171	64806881	TU35549	G17124	-	0	1.63208	0	0	0	0	0	1.48869	0	0
chr1	129233096	129395560	TU3555	G1746	-	0.061661	0.0571383	0.0129262	0.0181594	0	0.00575927	0.00432161	0	0.187134	0.102098
chr16	89989273	90048383	TU35552	G17126	-	0.366625	0.211884	0.0435778	0.124328	0.0186342	0.015783	0.166073	0.210389	0.361768	0.194928
chr16	89989273	89990248	TU35554	G17126	-	1.17696	2.56042	0	0	0	0	0	0	0	0
chr16	81776160	81782491	TU35558	G17127	+	7.2374	6.75628	3.95305	2.37842	3.31904	1.07222	1.65168	3.05491	3.73509	2.26903
chr16	87680021	87685932	TU35559	G17128	-	0.586244	0.770787	0	0	0	0	0	0	0.0765591	0.0840643
chr16	87680021	87680993	TU35560	G17128	-	2.62745	0.74261	0	0	0	0	0	0	0	0
chr16	81776160	81874498	TU35561	G17127	+	1.37962	0.43957	0.308788	0.249749	0.119909	0.0252651	0.168642	0.158768	0.438293	0.138378
chr16	87684009	87685932	TU35562	G17128	-	0	0.636729	0	0.154886	0	0	0	0	0.458907	0
chr1	133675798	133677165	TU3557	G1750	+	4.76997	4.47098	0.210804	0	5.62309	5.6868	7.0737	5.51661	3.16092	2.8482
chr16	90921112	90923251	TU35575	G17133	-	4.00806	3.627	1.60676	1.18057	0	0	0	0.488515	0	1.3903
chr16	81857048	81859553	TU35578	G17134	-	0.0374994	0	0.0328061	0	0	0	0	1.01507	0.486972	0.0754185
chr1	132227478	132251655	TU3558	G1749	-	0.215782	0.332507	0.1137	0.412872	0.699255	0.0384362	0.0648829	0.0867838	0	0
chr16	91103237	91106687	TU35580	G17136	+	0.212881	1.0719	0	0.925999	0	0	0	0	0	0.145351
chr1	129399643	129400399	TU3559	G1751	-	1.555	1.70894	0	0	0	0	2.32788	0.347855	0	1.25962
chr16	64694279	64706778	TU35590	G17143	-	0.0398403	0.300299	0	0.0949116	0	0	0	0	0.277985	0.228152
chr16	57480198	57539837	TU35594	G17144	-	0.892715	0.40294	0.119909	0.120794	0.232251	0.0356239	0.0346853	0.0356239	0.121015	0.208309
chr16	57607104	57607827	TU35598	G17146	-	3.18993	1.93319	2.38948	0	0	0	0	1.45996	0	1.65275
chr16	91320217	91321170	TU35601	G17149	-	3.02627	0	0	0	0	0	0	0	0	0
chr16	90300579	90331441	TU35602	G17150	+	0.045443	0.133564	0	0	0	0.0459089	0	0.137504	0	0.0134027
chr16	91320217	91334499	TU35603	G17149	-	0.124769	0.164014	0.0262099	0.0940108	0	0	0	0	0.355016	0.320003
chr16	90313064	90331441	TU35604	G17150	+	0	0.630592	0	0	0	0	0.104337	0	0	0
chr16	90291730	90353838	TU35608	G17150	+	0.177174	0.436801	0.268634	0.215368	0	0.0917562	0.0398403	0.147958	0.379621	0.377772
chr1	129206146	129213065	TU3561	G1752	-	0.321543	2.60559	0.0384362	0.645548	0	0	0	0	0.257614	0
chr16	90311890	90331441	TU35612	G17150	+	0.103442	0.00432161	0	0.0463746	0	0	0	0	0	0.0219534
chr16	49954962	49956750	TU35622	G17157	+	0.909709	0.213378	0.297485	0	0	0	0	0	0	0
chr16	90064244	90144235	TU35626	G17130	-	0.33266	0.334568	0.186078	0.144046	0.224452	0.0635029	0.299831	0.3146	0.451541	0.448549
chr1	129160238	129176348	TU3563	G1753	-	0.379251	0.925088	0	0.0176844	0	0	0	0	0.271426	0.286881
chr16	91465027	91470128	TU35630	G17160	+	1.27521	2.02098	0.0781544	0.118138	0	1.40599	0.585924	1.72276	0.0901759	0.577892
chr16	91465027	91470128	TU35631	G17160	+	1.27521	2.02098	0.0781544	0.118138	0	1.40599	0.585924	1.72276	0.0901759	0.577892
chr16	91126989	91131734	TU35640	G17166	+	2.05543	0.879549	0	0	0	0	0.119467	0	0	0.000961476
chr16	91126989	91131734	TU35644	G17166	+	2.05543	0.879549	0	0	0	0	0.119467	0	0	0.000961476
chr16	78250861	78295133	TU35647	G17169	-	0.00671692	0.00317044	0	0.000480818	0	0.00432161	0	0	0.0129262	0.0124495
chr16	91143564	91144914	TU35648	G17166	+	4.06738	2.55616	0	0	0	0	0	0	0	0
chr16	91126989	91142116	TU35650	G17166	+	0	0.563646	0.217851	0	0	0	0	0	0	0
chr16	78250861	78295133	TU35651	G17169	-	0.00671692	0.00317044	0	0.000480818	0	0.00432161	0	0	0.0129262	0.0124495
chr16	91126989	91144914	TU35652	G17166	+	0	0	0	0	0	0	0	0	0	0
chr16	78250861	78295133	TU35653	G17169	-	0.00671692	0.00317044	0	0.000480818	0	0.00432161	0	0	0.0129262	0.0124495
chr16	78250750	78295133	TU35655	G17169	-	0.00384207	0.00115369	0	0.000480818	0	0.00240249	0	0	0.0114956	0.00671692
chr16	78250861	78270552	TU35656	G17169	-	0	0	0.0110185	0	0	0	0	0	0	0
chr16	78250861	78295133	TU35657	G17169	-	0.00671692	0.00317044	0	0.000480818	0	0.00432161	0	0	0.0129262	0.0124495
chr16	78250750	78295133	TU35658	G17169	-	0.00384207	0.00115369	0	0.000480818	0	0.00240249	0	0	0.0114956	0.00671692
chr1	118517991	118537708	TU3566	G1755	-	0.469539	0.0742314	0.0817941	0.0971613	0	0.0922074	0.137066	0.426175	0.0969365	0.112367
chr16	78250861	78295133	TU35660	G17169	-	0.00671692	0.00317044	0	0.000480818	0	0.00432161	0	0	0.0129262	0.0124495
chr16	78250861	78270552	TU35661	G17169	-	0	0	0.0110185	0	0	0	0	0	0	0
chr16	78250861	78270552	TU35662	G17169	-	0	0	0.0110185	0	0	0	0	0	0	0
chr16	78250750	78295133	TU35663	G17169	-	0.00384207	0.00115369	0	0.000480818	0	0.00240249	0	0	0.0114956	0.00671692
chr16	78250861	78295133	TU35664	G17169	-	0.00671692	0.00317044	0	0.000480818	0	0.00432161	0	0	0.0129262	0.0124495
chr16	78250861	78270552	TU35665	G17169	-	0	0	0.0110185	0	0	0	0	0	0	0
chr16	91931711	91961954	TU35666	G17172	+	0.036093	0.0440443	0.00863031	0.026682	0	0.0505597	0.331514	0.057508	0.0922074	0.144917
chr16	92123820	92124593	TU35667	G17173	+	0.985015	0.537445	0	0	0	4.11545	3.94489	1.3012	0	1.54514
chr16	78250861	78295133	TU35668	G17169	-	0.00671692	0.00317044	0	0.000480818	0	0.00432161	0	0	0.0129262	0.0124495
chr16	78250861	78270552	TU35669	G17169	-	0	0	0.0110185	0	0	0	0	0	0	0
chr16	78250861	78270552	TU35670	G17169	-	0	0	0.0110185	0	0	0	0	0	0	0
chr16	78250861	78295133	TU35671	G17169	-	0.00671692	0.00317044	0	0.000480818	0	0.00432161	0	0	0.0129262	0.0124495
chr16	78250861	78265977	TU35672	G17169	-	0	0.0017302	0	0	0	0.0124495	0	0	0.0313952	0.036093
chr16	92210652	92213071	TU35673	G17174	+	2.31557	0	0	0	0	0	0	0	0.65764	0
chr16	78250861	78270552	TU35674	G17169	-	0	0	0.0110185	0	0	0	0	0	0	0
chr16	78250861	78255469	TU35675	G17169	-	5.65827	5.33463	1.80254	4.23624	4.31262	5.42697	4.74875	7.06841	4.74338	6.43974
chr16	78250861	78295133	TU35676	G17169	-	0.00671692	0.00317044	0	0.000480818	0	0.00432161	0	0	0.0129262	0.0124495
chr16	78250750	78255469	TU35677	G17169	-	1.38902	0.83754	0.00240249	0.036093	0.0105412	0.0763311	0.0257376	0.48302	2.89724	0.279768
chr16	78250861	78270552	TU35678	G17169	-	0	0	0.0110185	0	0	0	0	0	0	0
chr16	78250861	78265977	TU35680	G17169	-	0	0.0017302	0	0	0	0.0124495	0	0	0.0313952	0.036093
chr16	78250861	78270552	TU35681	G17169	-	0	0	0.0110185	0	0	0	0	0	0	0
chr16	78250861	78295133	TU35682	G17169	-	0.00671692	0.00317044	0	0.000480818	0	0.00432161	0	0	0.0129262	0.0124495
chr16	78250861	78282567	TU35683	G17169	-	0	0	0	0	0	0	0	0	0.0370307	0
chr16	78250861	78295133	TU35684	G17169	-	0.00671692	0.00317044	0	0.000480818	0	0.00432161	0	0	0.0129262	0.0124495
chr16	78250861	78295133	TU35685	G17169	-	0.00671692	0.00317044	0	0.000480818	0	0.00432161	0	0	0.0129262	0.0124495
chr16	78250861	78295133	TU35686	G17169	-	0.00671692	0.00317044	0	0.000480818	0	0.00432161	0	0	0.0129262	0.0124495
chr16	91897448	91903848	TU35692	G17179	-	1.49621	0.413161	1.3051	0.114589	3.30232	0	2.73523	2.00336	1.11836	1.59264
chr16	91902362	91903848	TU35693	G17179	-	2.13641	0.419431	1.29239	1.21392	3.11092	0	3.17318	0.990592	1.49365	1.08316
chr16	90284570	90286368	TU35694	G17180	+	3.44837	4.85939	1.89582	2.87879	0	2.50063	0.444667	0.717795	2.56096	1.60011
chr16	92366407	92367522	TU35699	G17184	-	4.69538	5.40254	0.788825	0.605968	0.955313	1.39944	0	0	2.77009	1.00432
chr16	92126501	92190374	TU35702	G17187	+	0.888565	0.660837	0.118138	0.137941	0.231023	0.0795203	0.298267	0.219504	0.295135	0.271824
chr16	92584564	92593090	TU35703	G17188	-	0	0.012068	0	0	0	0.138814	0	1.19156	0.302173	0.172061
chr16	91619642	91620923	TU35707	G17191	+	3.68433	4.2366	5.83302	5.88138	3.84308	3.56181	2.66426	3.61918	5.79557	4.39039
chr16	93766444	93768645	TU35714	G17195	+	0	1.35626	0.334187	0	0	0	0	0	0.424922	0
chr16	93827080	93828344	TU35728	G17203	-	0	1.38117	0.602489	0	0	0	0	0	1.14176	0.59423
chr16	93824852	93826450	TU35738	G17206	-	0	0.751892	1.36326	0	0	0	0	0	0	0
chr16	93825700	93826450	TU35740	G17206	-	0	0.35095	0	2.66524	0	3.35233	0	0	1.18745	2.77996
chr16	94062138	94062885	TU35754	G17215	-	0	0	0.853863	0	0	0	3.46162	3.0278	4.33539	0
chr16	94062138	94065185	TU35755	G17215	-	0	0	0	0	0	0	0	0	0.374622	0
chr16	94061851	94064594	TU35757	G17215	-	0	0	0.189456	0	0	0	0.476468	0.483364	1.25187	0
chr16	94062138	94064594	TU35759	G17215	-	0.75389	0.399226	0.212881	0	0	0	0.918386	0	0	0
chr16	78357463	78358758	TU35772	G17222	-	2.74588	0.695816	2.83848	1.26784	4.22255	7.03194	3.83296	4.94735	2.37851	2.79216
chr16	94752947	94753412	TU35791	G17231	+	0	0	0	3.19745	0	0	0	0	0	0
chr16	94533967	94547792	TU35792	G17232	+	0.580467	0.0387171	0.32807	0.326537	0	0	0.0528796	0.121236	0.573859	0.636296
chr16	94542232	94547792	TU35793	G17232	+	0.636915	0.211884	0.685865	0.12212	0.335712	0	0	0.515006	0.49057	0.547943
chr16	94547168	94547792	TU35794	G17232	+	1.35389	1.92189	3.60474	3.176	0	0	1.20101	4.9404	1.03104	1.82239
chr16	94351503	94354200	TU35797	G17235	+	5.24496	4.9287	0.275802	0.231023	0	0	0	0	0	1.09446
chr16	94351503	94356379	TU35798	G17235	+	1.81994	0.651132	0	0.116365	0	0	0	0	0.195977	0
chr16	94354488	94357823	TU35799	G17235	+	0.183963	0	0	0	0	0	0	0	0.284514	0.225686
chr16	94293683	94295637	TU35800	G17236	+	5.92059	5.39257	3.99222	3.82971	0	0	0	2.0487	1.50513	2.81639
chr16	94764609	94785416	TU35801	G17237	+	0.0119726	0.285935	0	0.323082	0	0.0299829	0	0.534062	0.0468403	0.221155
chr16	91133085	91159399	TU35808	G17240	-	0.0407756	0.978342	0	0	0	0	0.201216	0	0.0271541	0
chr16	84807837	84809272	TU35809	G17241	+	0.637842	0.994362	0	0	0	0	0	0	0	0
chr16	91158062	91159399	TU35810	G17240	-	3.09012	2.18758	2.21236	3.30995	3.63653	0	4.89585	4.44358	4.124	2.52239
chr16	91146923	91159399	TU35811	G17240	-	0.722175	0.0274372	0.240823	0.197027	1.08452	0.472314	0.401994	1.3627	0.952706	1.76709
chr16	91138464	91159399	TU35812	G17240	-	0.918132	0	0	0	0	0	0.352005	0	0.299245	0
chr16	91125258	91159399	TU35813	G17240	-	0.0612002	0.0908534	0	0	0	0	0	0.040308	0	0
chr16	91125258	91189216	TU35815	G17240	-	0.309564	0.0160684	0.227741	0.262233	0	0	0.0763311	0	0.392317	0.166073
chr16	91142572	91143879	TU35816	G17243	-	0.613217	0.534261	0.893233	0	0	0	0	0	0	0
chr16	91141002	91143879	TU35817	G17243	-	2.99518	2.49477	0.169497	0	0	0	2.41927	0.364759	0.206018	0
chr16	94512923	94515163	TU35819	G17245	+	2.07188	0	0	0.131809	0	0	0	0	0	0
chr16	94512506	94515163	TU35821	G17245	+	0	1.43029	0	0	0	0	0	0	0.398898	0.19072
chr16	96120088	96121502	TU35823	G17248	+	0.509949	0	0	0	1.2457	0	3.26394	5.17716	1.70995	2.13849
chr16	96112775	96114848	TU35825	G17249	+	1.5177	0.622556	1.69644	0.937847	2.59232	0	4.29663	3.69533	0	3.51786
chr16	96097201	96109463	TU35837	G17255	+	0.100753	0.227741	0.0186342	0.0393724	0	0.0908534	0.133125	0.343313	0	0.0556584
chr16	96259469	96260200	TU35838	G17256	+	2.19051	1.72098	0.768925	1.5086	0	0	0	0	0	0
chr1	127892037	127893999	TU3584	G1759	-	1.40127	1.02432	5.67425	3.38387	5.17173	3.12438	5.17477	5.7781	4.69563	4.0939
chr16	96097201	96109463	TU35842	G17255	+	0.100753	0.227741	0.0186342	0.0393724	0	0.0908534	0.133125	0.343313	0	0.0556584
chr16	96097201	96109463	TU35844	G17255	+	0.100753	0.227741	0.0186342	0.0393724	0	0.0908534	0.133125	0.343313	0	0.0556584
chr16	93808548	93818478	TU35846	G17259	-	0.0528796	0	0.0556584	0	0	0.190299	0.766948	0.217851	0.184598	0.156612
chr16	93808548	93813782	TU35847	G17259	-	3.15175	2.62059	1.54218	1.48354	2.32998	0.31769	1.5766	3.33614	2.25217	1.38294
chr16	84817329	84821191	TU35856	G17266	-	0.555816	0.269273	1.0658	1.45136	3.98219	1.80281	2.08145	2.00504	1.02857	1.90856
chr16	96863109	96933074	TU35857	G17267	-	0.107465	0.0482362	0.00384207	0.0299829	0	0.0262099	0.0105412	0.032336	0.215989	0.111031
chr16	97307619	97329560	TU35859	G17269	-	0	0.049352	0	0.0110185	0	0.0561211	0	0	0.200379	0
chr1	127875471	127893999	TU3586	G1759	-	1.06419	1.13986	1.61149	1.98647	1.66023	1.1776	1.29396	1.92638	1.75104	1.87184
chr16	94010903	94014505	TU35863	G17273	+	0.0667207	0.0468403	2.99452	1.30237	4.71177	4.5235	4.51393	4.7615	3.20038	3.65482
chr16	94010903	94014505	TU35864	G17273	+	0.0667207	0.0468403	2.99452	1.30237	4.71177	4.5235	4.51393	4.7615	3.20038	3.65482
chr16	97270656	97282699	TU35865	G17274	+	0.0407756	0	0.0210059	0	0.400902	0	0.386627	0	0.722903	0.0440443
chr16	92095546	92107828	TU35866	G17275	-	3.23527	2.9375	3.31788	2.79784	3.38198	3.25595	3.73761	3.88505	3.19061	3.35807
chr16	94010903	94014505	TU35867	G17273	+	0.0667207	0.0468403	2.99452	1.30237	4.71177	4.5235	4.51393	4.7615	3.20038	3.65482
chr16	97270656	97282699	TU35868	G17274	+	0.0407756	0	0.0210059	0	0.400902	0	0.386627	0	0.722903	0.0440443
chr16	94010903	94016391	TU35869	G17273	+	0	0.0211954	0.102994	0	0	0	0.528738	0	0	0.173767
chr16	97270656	97278741	TU35870	G17274	+	0.0229004	0.0126402	0.0342157	0.0299829	0	0	0.168642	0	0	0.0931094
chr16	94010903	94016391	TU35871	G17273	+	0	0.0211954	0.102994	0	0	0	0.528738	0	0	0.173767
chr16	94010903	94016391	TU35873	G17273	+	0	0.0211954	0.102994	0	0	0	0.528738	0	0	0.173767
chr16	94015546	94016391	TU35876	G17273	+	2.68833	1.65682	5.28577	0.382575	6.38162	6.12686	6.26964	6.59745	5.91217	5.63364
chr16	94010903	94014505	TU35877	G17273	+	0.0667207	0.0468403	2.99452	1.30237	4.71177	4.5235	4.51393	4.7615	3.20038	3.65482
chr16	94010903	94016391	TU35878	G17273	+	0	0.0211954	0.102994	0	0	0	0.528738	0	0	0.173767
chr16	94010903	94016391	TU35880	G17273	+	0	0.0211954	0.102994	0	0	0	0.528738	0	0	0.173767
chr16	94010903	94016391	TU35881	G17273	+	0	0.0211954	0.102994	0	0	0	0.528738	0	0	0.173767
chr16	95921337	95931672	TU35882	G17280	+	0.0556584	0.0750534	0	0.0731347	1.10478	0	0.250557	0.538373	0	0
chr16	94010903	94016391	TU35883	G17273	+	0	0.0211954	0.102994	0	0	0	0.528738	0	0	0.173767
chr16	95921337	95933552	TU35885	G17280	+	0	0	0	0	0	0	0	0.115921	0.639695	0.0533431
chr16	95930488	95955057	TU35886	G17280	+	0.0754185	0.0635029	0.165215	0.144482	0.758161	0.0795203	0.138814	0.179299	0.284514	0.423668
chr16	95939932	95940969	TU35887	G17280	+	1.65703	0	0	0	0	0	1.51635	0	0	0
chr16	95930488	95933552	TU35888	G17280	+	0	0	0.145786	0	2.66577	1.11947	3.48384	3.12173	0.0461418	1.03633
chr1	21389867	21391680	TU359	G188	+	0	0	0	0	0	0	0	0	0	0
chr16	94174857	94179057	TU35904	G17293	+	0.211635	0	0	0	0	0	0	0	0.212258	0.179299
chr16	94177993	94179057	TU35906	G17293	+	0.928528	0.556012	0	0	0	0	0	0	0	0
chr16	94256971	94258202	TU35923	G17299	+	0	0	3.99229	1.67702	0	0	0	2.05866	1.22712	1.84144
chr16	94256971	94262126	TU35924	G17299	+	0	0	0.194507	0.280956	0	1.34634	0	1.569	0	1.22116
chr16	98064479	98066197	TU35929	G17302	+	1.41215	1.39977	8.51485	5.89761	6.02881	4.83643	5.9986	6.78617	6.32803	6.8569
chr16	98064479	98066626	TU35930	G17302	+	0.366998	1.45733	7.18752	4.83132	5.16205	5.17693	6.05115	6.61821	5.91961	7.10283
chr17	3291550	3292093	TU35936	G17307	+	0	1.2212	1.89582	0	0	0	0	0	0	0
